label,precision,recall,f1-score,support
Backend Developer,0.7142857142857143,0.7894736842105263,0.75,19.0
Frontend Developer,1.0,0.75,0.8571428571428571,8.0
Full Stack Developer,0.4166666666666667,0.8333333333333334,0.5555555555555556,6.0
DevOps Engineer,0.7777777777777778,0.875,0.8235294117647058,8.0
Data / AI Role,1.0,1.0,1.0,3.0
QA Engineer,0.6666666666666666,0.8571428571428571,0.75,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.5,1.0,0.6666666666666666,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.7,0.7,0.7,10.0
Business / Operations Role,0.9,1.0,0.9473684210526315,9.0
Design / Creative Role,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.72,0.72,0.72,0.72
macro avg,0.6887057387057388,0.7948252040357304,0.7193730933669015,100.0
weighted avg,0.6606031746031746,0.72,0.6790026536930561,100.0
