label,precision,recall,f1-score,support
Backend Developer,0.6923076923076923,0.9473684210526315,0.8,19.0
Frontend Developer,1.0,0.875,0.9333333333333333,8.0
Full Stack Developer,1.0,1.0,1.0,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,1.0,1.0,1.0,3.0
QA Engineer,0.7,1.0,0.8235294117647058,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.6,1.0,0.75,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.7142857142857143,0.5,0.5882352941176471,10.0
Business / Operations Role,0.6,1.0,0.75,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.75,0.75,0.75,0.75
macro avg,0.7255071851225696,0.816464237516869,0.749983839689722,100.0
weighted avg,0.6764670329670329,0.75,0.6976190476190477,100.0
