rag_type,model_name,prompt_type,benchmark_score,prompt_rank
NON_RAG,llama-3.1-8b-instant,chain_of_thought,0.5901891316219062,1
NON_RAG,llama-3.1-8b-instant,self_consistency,0.5279224822306832,2
NON_RAG,llama-3.1-8b-instant,zero_shot,0.5263567387660046,3
NON_RAG,llama-3.1-8b-instant,style_based,0.5226461792942043,4
NON_RAG,llama-3.1-8b-instant,few_shot,0.13818190971838495,5
NON_RAG,llama-3.3-70b-versatile,style_based,0.5938224540329833,1
NON_RAG,llama-3.3-70b-versatile,chain_of_thought,0.5791643223865155,2
NON_RAG,llama-3.3-70b-versatile,self_consistency,0.5757174865936349,3
NON_RAG,llama-3.3-70b-versatile,zero_shot,0.4722988792383154,4
NON_RAG,llama-3.3-70b-versatile,few_shot,0.1409900387037583,5
NON_RAG,openai/gpt-oss-120b,style_based,0.6202687340869201,1
NON_RAG,openai/gpt-oss-120b,self_consistency,0.6047441382042245,2
NON_RAG,openai/gpt-oss-120b,zero_shot,0.5399119953182945,3
NON_RAG,openai/gpt-oss-120b,chain_of_thought,0.4968584513345412,4
NON_RAG,openai/gpt-oss-120b,few_shot,0.383498278596274,5
