rag_type,prompt_type,model_name,benchmark_score,model_rank
NON_RAG,chain_of_thought,llama-3.1-8b-instant,0.5901891316219062,1
NON_RAG,chain_of_thought,llama-3.3-70b-versatile,0.5791643223865155,2
NON_RAG,chain_of_thought,openai/gpt-oss-120b,0.4968584513345412,3
NON_RAG,few_shot,openai/gpt-oss-120b,0.383498278596274,1
NON_RAG,few_shot,llama-3.3-70b-versatile,0.1409900387037583,2
NON_RAG,few_shot,llama-3.1-8b-instant,0.13818190971838495,3
NON_RAG,self_consistency,openai/gpt-oss-120b,0.6047441382042245,1
NON_RAG,self_consistency,llama-3.3-70b-versatile,0.5757174865936349,2
NON_RAG,self_consistency,llama-3.1-8b-instant,0.5279224822306832,3
NON_RAG,style_based,openai/gpt-oss-120b,0.6202687340869201,1
NON_RAG,style_based,llama-3.3-70b-versatile,0.5938224540329833,2
NON_RAG,style_based,llama-3.1-8b-instant,0.5226461792942043,3
NON_RAG,zero_shot,openai/gpt-oss-120b,0.5399119953182945,1
NON_RAG,zero_shot,llama-3.1-8b-instant,0.5263567387660046,2
NON_RAG,zero_shot,llama-3.3-70b-versatile,0.4722988792383154,3
RAG,chain_of_thought,llama-3.3-70b-versatile,0.6441657763122501,1
RAG,chain_of_thought,openai/gpt-oss-120b,0.5786383074869627,2
RAG,chain_of_thought,llama-3.1-8b-instant,0.5515029777406374,3
RAG,few_shot,openai/gpt-oss-120b,0.7773962407183234,1
RAG,few_shot,llama-3.3-70b-versatile,0.523433462513743,2
RAG,few_shot,llama-3.1-8b-instant,0.3601068651706014,3
RAG,self_consistency,llama-3.3-70b-versatile,0.7123219885475532,1
RAG,self_consistency,openai/gpt-oss-120b,0.5429162388867874,2
RAG,self_consistency,llama-3.1-8b-instant,0.49017288654446656,3
RAG,style_based,llama-3.3-70b-versatile,0.6313619918279426,1
RAG,style_based,openai/gpt-oss-120b,0.36866423324740566,2
RAG,style_based,llama-3.1-8b-instant,0.3233159086818963,3
RAG,zero_shot,llama-3.3-70b-versatile,0.7391353060920318,1
RAG,zero_shot,llama-3.1-8b-instant,0.5658409792009386,2
RAG,zero_shot,openai/gpt-oss-120b,0.5184277810648057,3
