label,precision,recall,f1-score,support
Backend Developer,0.6,0.47368421052631576,0.5294117647058824,19.0
Frontend Developer,1.0,0.625,0.7692307692307693,8.0
Full Stack Developer,0.3333333333333333,0.8333333333333334,0.47619047619047616,6.0
DevOps Engineer,0.7777777777777778,0.875,0.8235294117647058,8.0
Data / AI Role,0.6,1.0,0.75,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.6,1.0,0.75,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.7,0.7,0.7,10.0
Business / Operations Role,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Design / Creative Role,0.875,0.7777777777777778,0.8235294117647058,9.0
Other,0.3333333333333333,0.07692307692307693,0.125,13.0
accuracy,0.66,0.66,0.66,0.66
macro avg,0.6803613053613055,0.7692774836499533,0.6874898480102101,100.0
weighted avg,0.6738510101010101,0.66,0.6373449508008331,100.0
