label,precision,recall,f1-score,support
Backend Developer,0.6666666666666666,0.7368421052631579,0.7,19.0
Frontend Developer,1.0,0.625,0.7692307692307693,8.0
Full Stack Developer,0.5,0.8333333333333334,0.625,6.0
DevOps Engineer,0.875,0.875,0.875,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.6363636363636364,1.0,0.7777777777777778,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.6,1.0,0.75,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.6363636363636364,0.7,0.6666666666666666,10.0
Business / Operations Role,0.9,1.0,0.9473684210526315,9.0
Design / Creative Role,0.75,0.6666666666666666,0.7058823529411765,9.0
Other,1.0,0.15384615384615385,0.26666666666666666,13.0
accuracy,0.72,0.72,0.72,0.72
macro avg,0.75495337995338,0.7954375583930239,0.72804192579139,100.0
weighted avg,0.7788484848484848,0.72,0.6957754756423488,100.0
