label,precision,recall,f1-score,support
Backend Developer,0.5909090909090909,0.6842105263157895,0.6341463414634146,19.0
Frontend Developer,1.0,0.625,0.7692307692307693,8.0
Full Stack Developer,0.5,0.5,0.5,6.0
DevOps Engineer,0.7,0.875,0.7777777777777778,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.7,1.0,0.8235294117647058,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.25,1.0,0.4,3.0
Product Manager,0.25,1.0,0.4,1.0
Marketing / Sales,0.8333333333333334,0.5,0.625,10.0
Business / Operations Role,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
Design / Creative Role,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
Other,0.0,0.0,0.0,13.0
accuracy,0.6,0.6,0.6,0.6
macro avg,0.5911810411810412,0.6957939721097616,0.5965447019718072,100.0
weighted avg,0.5831060606060606,0.6,0.570395547462262,100.0
