label,precision,recall,f1-score,support
Backend Developer,0.6956521739130435,0.8421052631578947,0.7619047619047619,19.0
Frontend Developer,1.0,0.75,0.8571428571428571,8.0
Full Stack Developer,0.6666666666666666,1.0,0.8,6.0
DevOps Engineer,0.7777777777777778,0.875,0.8235294117647058,8.0
Data / AI Role,0.75,1.0,0.8571428571428571,3.0
QA Engineer,0.7,1.0,0.8235294117647058,7.0
Mobile Developer,1.0,0.75,0.8571428571428571,4.0
Project / Program Manager,0.75,1.0,0.8571428571428571,3.0
Product Manager,0.5,1.0,0.6666666666666666,1.0
Marketing / Sales,0.75,0.6,0.6666666666666666,10.0
Business / Operations Role,0.7272727272727273,0.8888888888888888,0.8,9.0
Design / Creative Role,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
Other,0.5,0.07692307692307693,0.13333333333333333,13.0
accuracy,0.74,0.74,0.74,0.74
macro avg,0.7380882402621534,0.812361154365203,0.7447676506500037,100.0
weighted avg,0.728850680720246,0.74,0.7032436974789915,100.0
